Latitude,Longitude,Species,SeasonStartMonth,SeasonEndMonth
34.09839846,-118.21763831,southern California black walnut (Juglans californica),9,10
34.11084788,-118.22529259,southern California black walnut (Juglans californica),9,10
34.11086713,-118.22535459,southern California black walnut (Juglans californica),9,10
34.11095374,-118.22538275,southern California black walnut (Juglans californica),9,10
34.11095041,-118.22541091,southern California black walnut (Juglans californica),9,10
34.11092154,-118.22538275,southern California black walnut (Juglans californica),9,10
34.11091377,-118.22540689,southern California black walnut (Juglans californica),9,10
34.11095485,-118.22556380,southern California black walnut (Juglans californica),9,10
34.11097595,-118.22553161,southern California black walnut (Juglans californica),9,10
34.11082938,-118.22534788,southern California black walnut (Juglans californica),9,10
34.11085489,-118.22530005,southern California black walnut (Juglans californica),9,10
34.11092709,-118.22549540,southern California black walnut (Juglans californica),9,10
34.10857656,-118.30035968,carob (Ceratonia siliqua),8,10
34.14743410,-118.35920383,lemon (Citrus limon),11,4
34.03728382,-118.39200710,carob (Ceratonia siliqua),8,10
34.12362467,-118.20264346,bay laurel (Umbellularia californica),1,12
34.24814950,-118.35148100,southern California black walnut (Juglans californica),9,10
34.11098816,-118.22557855,southern California black walnut (Juglans californica),9,10
34.11106256,-118.22553161,southern California black walnut (Juglans californica),9,10
34.25398779,-118.28114528,white mulberry (Morus alba),4,6
34.32023766,-118.49782355,southern California black walnut (Juglans californica),9,10
34.32024958,-118.49792436,southern California black walnut (Juglans californica),9,10
34.23639891,-118.42950966,guava (Psidium guajava),8,11
33.96472249,-118.26475460,avocado (Persea americana),10,5
33.96472249,-118.26472252,cherimoya (Annona cherimola),11,3
33.96472446,-118.26424114,avocado (Persea americana),10,5
33.96472446,-118.26420691,avocado (Persea americana),10,5
34.11111850,-118.25665804,olive (Olea europaea),9,11
33.96542520,-118.27178872,edible loquat (Eriobotrya japonica),3,5
34.27778379,-118.41451072,citrus (Citrus spp.),11,4
33.96473318,-118.26608056,guava (Psidium guajava),8,11
34.11350677,-118.25942923,edible loquat (Eriobotrya japonica),3,5
34.16572551,-118.50552770,edible fig (Ficus carica),6,9
33.96460262,-118.26612232,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.96460748,-118.26610964,edible loquat (Eriobotrya japonica),3,5
34.27183383,-118.40989400,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27182852,-118.40988545,white mulberry (Morus alba),4,6
33.96460321,-118.26592528,guava (Psidium guajava),8,11
34.27781897,-118.41450860,orange (Citrus sinensis),12,4
34.27290195,-118.41101761,peach (Prunus persica),5,8
34.21722787,-118.43280264,peach (Prunus persica),5,8
34.21739768,-118.43281405,apricot (Prunus armeniaca),5,6
34.04104240,-118.34343905,guava (Psidium guajava),8,11
33.79550155,-118.27228761,olive (Olea europaea),9,11
33.96463587,-118.26169663,guava (Psidium guajava),8,11
33.78550157,-118.25282772,edible loquat (Eriobotrya japonica),3,5
33.96456376,-118.26301282,edible fig (Ficus carica),6,9
33.79232221,-118.27204851,guava (Psidium guajava),8,11
33.79228192,-118.27204281,cherimoya (Annona cherimola),11,3
33.96459979,-118.26597884,edible loquat (Eriobotrya japonica),3,5
34.19613472,-118.41154229,edible loquat (Eriobotrya japonica),3,5
33.99850427,-118.45518479,guava (Psidium guajava),8,11
33.97124055,-118.25984794,guava (Psidium guajava),8,11
33.97111335,-118.26193444,edible loquat (Eriobotrya japonica),3,5
34.19813568,-118.41153846,citrus (Citrus spp.),11,4
33.97126198,-118.27209851,edible loquat (Eriobotrya japonica),3,5
33.97136124,-118.27174740,citrus (Citrus spp.),11,4
34.24287155,-118.41941135,cherry plum (Prunus cerasifera),5,7
34.24290869,-118.41945270,cherry plum (Prunus cerasifera),5,7
34.16096293,-118.47978702,avocado (Persea americana),10,5
34.18484143,-118.41222598,edible loquat (Eriobotrya japonica),3,5
33.72815532,-118.31433655,olive (Olea europaea),9,11
33.97085538,-118.25852343,peach (Prunus persica),5,8
34.17702506,-118.41178181,citrus (Citrus spp.),11,4
34.16743150,-118.42684904,edible fig (Ficus carica),6,9
34.21425431,-118.38171329,avocado (Persea americana),10,5
34.03741773,-118.26465625,cherry plum (Prunus cerasifera),5,7
33.72821481,-118.31433119,olive (Olea europaea),9,11
33.96959574,-118.27016703,avocado (Persea americana),10,5
34.22655794,-118.44539135,citrus (Citrus spp.),11,4
34.27911687,-118.41602055,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27945133,-118.41641054,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27947018,-118.41644049,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27950086,-118.41653781,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.97390805,-118.26747542,cherry plum (Prunus cerasifera),5,7
34.20454231,-118.49466448,white mulberry (Morus alba),4,6
34.20196047,-118.49466535,citrus (Citrus spp.),11,4
34.20191506,-118.49466535,ice cream bean tree (Inga edulis),1,12
34.20183427,-118.49466036,citrus (Citrus spp.),11,4
34.20185668,-118.49466178,citrus (Citrus spp.),11,4
34.27586809,-118.41560604,white mulberry (Morus alba),4,6
34.20918914,-118.52457676,citrus (Citrus spp.),11,4
34.20919703,-118.52089749,citrus (Citrus spp.),11,4
34.20919727,-118.52099752,citrus (Citrus spp.),11,4
33.94972370,-118.23623380,avocado (Persea americana),10,5
34.20899744,-118.52621888,citrus (Citrus spp.),11,4
33.94119382,-118.23697035,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27363180,-118.41324373,white mulberry (Morus alba),4,6
34.05950614,-118.26117192,avocado (Persea americana),10,5
34.27476964,-118.41444280,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.27467110,-118.41434022,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.93789887,-118.23696700,olive (Olea europaea),9,11
34.27368189,-118.41329079,white mulberry (Morus alba),4,6
34.09599434,-118.16258090,peach (Prunus persica),5,8
34.27747927,-118.41423219,nectarine (Prunus persica var. nucipersica),6,8
34.17847958,-118.43776773,peach (Prunus persica),5,8
34.21719538,-118.43280264,citrus (Citrus spp.),11,4
34.27753628,-118.41428772,peach (Prunus persica),5,8
34.27741394,-118.41416063,fig species (Ficus spp.),6,9
34.17845886,-118.43776758,edible fig (Ficus carica),6,9
34.18332711,-118.43337186,cherry plum (Prunus cerasifera),5,7
34.18479171,-118.43318458,pecan (Carya illinoinensis),9,11
34.27751462,-118.41426499,peach (Prunus persica),5,8
34.27761902,-118.41441591,white sapote (Casimiroa edulis),11,3
33.96555402,-118.25825471,edible pear (Pyrus communis),8,10
33.96448978,-118.27297813,cherimoya (Annona cherimola),11,3
34.28421578,-118.42249586,citrus (Citrus spp.),11,4
34.27746100,-118.41420723,apricot (Prunus armeniaca),5,6
34.21629706,-118.43294841,citrus (Citrus spp.),11,4
34.21491769,-118.58031638,paper mulberry (Broussonetia papyrifera),4,6
34.27750048,-118.41425001,nectarine (Prunus persica var. nucipersica),6,8
34.19695756,-118.47936223,Java plum (Syzygium cumini),6,8
34.19699478,-118.47923497,cherry plum (Prunus cerasifera),5,7
